line	fcover	pcover
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#612	1	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#634	0	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#613	1	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#635	0	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#614	1	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#615	1	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#637	0	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#616	1	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#638	0	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#617	1	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#639	0	1
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#618	1	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#619	1	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#630	0	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#631	0	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#610	1	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#632	0	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#611	1	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#633	0	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#624	1	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#625	1	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#626	0	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#605	1	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#627	0	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#606	1	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#628	0	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#629	0	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#609	1	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#640	0	1
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#641	0	1
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#620	1	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#621	1	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#622	1	11
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#644	0	11
